,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,53.0,85.0,4.0,21.0,1.3,85.0,25,1006,0
1,65.0,98.0,13.0,11.0,1.8,134.0,27,1006,0
2,57.0,88.0,15.0,12.0,1.7,158.0,28,1005,0
3,61.0,74.0,11.0,11.0,1.3,184.0,29,1005,0
4,63.0,80.0,9.0,12.0,1.4,199.0,30,1004,0
5,57.0,86.0,8.0,13.0,1.4,215.0,31,1003,0
6,60.0,89.0,8.0,13.0,1.4,226.0,30,1003,0
7,60.0,91.0,7.0,18.0,1.5,239.0,30,1003,0
8,62.0,97.0,6.0,21.0,1.4,234.0,29,1003,0
9,72.0,116.0,4.0,24.0,1.7,205.0,28,1004,0
10,72.0,114.0,2.0,23.0,1.5,175.0,28,1005,0
11,46.0,52.0,1.0,12.0,0.8,148.0,27,1005,0
12,20.0,22.0,3.0,11.0,0.5,112.0,25,1005,0
13,14.0,22.0,3.0,9.0,0.4,90.0,25,1004,0
14,15.0,19.5,3.0,7.0,0.4,81.0,24,1004,0
15,12.0,17.0,3.0,18.0,0.3,59.0,23,1004,0
16,16.0,28.0,3.0,19.0,0.4,58.0,23,1004,0
17,13.0,20.0,3.0,12.0,0.3,49.0,22,1004,0
18,14.0,27.0,3.0,17.0,0.4,53.0,22,1004,0
19,12.0,37.0,3.0,10.0,0.3,59.0,21,1003,0
20,13.0,16.0,3.0,14.0,0.3,47.0,21,1004,0
21,16.0,23.0,3.0,18.0,0.4,42.0,22,1004,0
22,18.0,46.0,3.0,19.0,0.4,46.0,24,1003,0
23,13.0,43.0,3.0,14.0,0.3,53.0,25,1004,0
