,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,98.0,109.0,5.0,24.0,1.5,107.0,25,1006,0
1,82.0,90.0,8.0,22.0,1.6,138.0,27,1006,0
2,71.0,79.0,12.0,18.0,1.5,181.0,28,1005,0
3,55.0,63.0,13.0,14.0,1.4,222.0,29,1005,0
4,47.0,66.0,11.0,13.0,1.7,244.0,30,1004,0
5,57.0,82.0,8.0,14.0,1.9,252.0,31,1003,0
6,47.0,75.0,8.0,12.0,1.2,248.0,30,1003,0
7,48.0,71.0,7.0,11.0,1.1,235.0,30,1003,0
8,45.0,70.0,5.0,12.0,0.9,227.0,29,1003,0
9,46.0,68.0,3.0,15.0,1.0,217.0,28,1004,0
10,47.0,77.0,3.0,21.0,1.1,183.0,28,1005,0
11,46.0,76.0,3.0,25.0,1.1,171.0,27,1005,0
12,47.0,76.0,3.0,25.0,1.0,131.0,25,1005,0
13,47.0,73.0,2.0,29.0,1.0,117.0,25,1004,0
14,55.0,83.0,2.0,33.0,1.0,99.0,24,1004,0
15,58.0,74.0,1.0,27.0,1.0,72.0,23,1004,0
16,40.0,42.0,1.0,33.0,0.8,72.0,23,1004,0
17,22.0,23.0,1.0,29.0,0.5,74.0,22,1004,0
18,14.0,17.0,1.0,22.0,0.5,76.0,22,1004,0
19,18.0,21.0,1.0,24.0,0.5,70.0,21,1003,0
20,21.0,25.0,1.0,21.0,0.5,79.0,21,1004,0
21,20.0,30.0,1.0,29.0,0.5,69.0,22,1004,0
22,18.0,37.0,1.0,29.0,0.6,65.0,24,1003,0
23,20.0,37.0,3.0,24.0,0.6,74.0,25,1004,0
