,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,61.0,105.0,4.0,31.0,1.0,72.0,25,1006,0
1,71.0,104.0,5.0,13.0,1.2,117.0,27,1006,0
2,68.0,89.0,5.0,11.0,1.1,154.0,28,1005,0
3,73.0,88.0,5.0,12.0,1.1,193.0,29,1005,0
4,76.0,97.0,5.0,13.0,1.1,217.0,30,1004,0
5,73.0,97.0,4.0,12.0,1.1,233.0,31,1003,0
6,79.0,104.0,4.0,13.0,1.2,254.0,30,1003,0
7,79.0,104.0,5.0,15.0,1.4,264.0,30,1003,0
8,68.0,91.0,6.0,15.0,1.5,251.0,29,1003,0
9,63.0,103.0,5.0,19.0,1.5,228.0,28,1004,0
10,63.0,67.0,3.0,14.0,1.1,189.0,28,1005,0
11,16.0,48.66666666666667,1.0,7.0,0.4,123.0,27,1005,0
12,13.0,30.333333333333336,3.0,8.0,0.3,105.0,25,1005,0
13,12.0,12.0,3.0,7.0,0.3,91.0,25,1004,0
14,15.0,14.5,3.0,9.0,0.3,78.0,24,1004,0
15,17.0,17.0,3.0,10.0,0.4,73.0,23,1004,0
16,17.0,26.0,3.0,12.0,0.4,66.0,23,1004,0
17,17.0,23.0,3.0,17.0,0.4,59.0,22,1004,0
18,15.0,20.0,3.0,16.0,0.4,62.0,22,1004,0
19,17.0,23.0,3.0,19.0,0.4,55.0,21,1003,0
20,10.0,23.0,3.0,16.0,0.4,57.0,21,1004,0
21,17.0,23.0,2.0,19.0,0.4,46.0,22,1004,0
22,18.0,40.0,9.0,26.0,0.7,36.0,24,1003,0
23,23.0,34.0,16.0,24.0,0.9,44.0,25,1004,0
