,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,107.0,114.0,2.0,20.0,1.1,91.0,25,1006,0
1,100.0,102.0,3.0,19.0,1.1,127.0,27,1006,0
2,93.5,98.5,3.25,18.0,1.1,153.75,28,1005,0
3,87.0,95.0,3.5,17.0,1.1,180.5,29,1005,0
4,80.5,91.5,3.75,16.0,1.1,207.25,30,1004,0
5,74.0,88.0,4.0,15.0,1.1,234.0,31,1003,0
6,66.0,81.0,4.0,13.0,1.1,233.0,30,1003,0
7,55.0,79.0,4.0,17.0,1.0,212.0,30,1003,0
8,59.0,101.0,4.0,21.0,1.1,206.0,29,1003,0
9,62.0,105.0,3.0,27.0,1.1,193.0,28,1004,0
10,67.0,123.0,3.0,37.0,1.2,158.0,28,1005,0
11,72.0,110.0,2.0,33.0,1.2,145.0,27,1005,0
12,75.0,104.0,2.0,23.0,1.2,160.0,25,1005,0
13,52.0,59.0,2.0,25.0,1.0,128.0,25,1004,0
14,39.0,49.0,1.0,22.0,0.8,113.0,24,1004,0
15,45.0,55.0,1.0,31.0,0.8,84.0,23,1004,0
16,30.0,39.0,1.0,30.0,0.6,65.0,23,1004,0
17,24.0,32.0,1.0,35.0,0.6,50.0,22,1004,0
18,24.0,41.0,1.0,41.0,0.6,36.0,22,1004,0
19,29.0,54.0,1.0,53.0,0.6,20.0,21,1003,0
20,31.0,41.0,1.0,44.0,0.6,26.0,21,1004,0
21,28.0,53.0,1.0,56.0,0.6,11.0,22,1004,0
22,30.0,55.0,1.0,45.0,0.7,27.0,24,1003,0
23,27.0,48.0,1.0,34.0,0.6,47.0,25,1004,0
