,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,103.0,125.0,3.0,29.0,1.4,83.0,25,1006,0
1,92.0,105.0,7.0,21.0,1.5,122.0,27,1006,0
2,82.0,88.0,11.0,19.0,1.6,162.0,28,1005,0
3,80.0,85.0,13.0,18.0,1.7,196.0,29,1005,0
4,70.0,73.0,13.0,17.0,1.6,232.0,30,1004,0
5,57.0,78.0,10.0,15.0,1.3,244.0,31,1003,0
6,57.0,93.0,7.0,16.0,1.2,246.0,30,1003,0
7,61.0,88.0,8.0,16.0,1.1,238.0,30,1003,0
8,51.0,85.0,5.0,18.0,1.0,221.0,29,1003,0
9,52.0,88.0,3.0,19.0,1.0,222.0,28,1004,0
10,49.0,108.0,3.0,21.0,1.0,198.0,28,1005,0
11,49.0,69.0,2.0,24.0,1.1,164.0,27,1005,0
12,49.0,74.0,1.0,22.0,0.9,142.0,25,1005,0
13,58.0,113.0,1.0,57.0,1.0,79.0,25,1004,0
14,57.0,96.0,1.0,50.0,1.0,76.0,24,1004,0
15,41.5,77.0,2.0,38.5,0.75,78.5,23,1004,0
16,26.0,58.0,3.0,27.0,0.5,81.0,23,1004,0
17,18.0,39.0,3.0,30.0,0.5,68.0,22,1004,0
18,17.0,19.0,3.0,26.0,0.4,62.0,22,1004,0
19,17.0,28.0,3.0,23.0,0.5,62.0,21,1003,0
20,20.0,23.0,3.0,20.0,0.5,70.0,21,1004,0
21,19.0,23.0,3.0,20.0,0.5,61.0,22,1004,0
22,15.0,19.0,3.0,17.0,0.5,66.0,24,1003,0
23,15.0,28.0,3.0,21.0,0.5,69.0,25,1004,0
