,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,113.0,127.0,2.0,35.0,1.3,77.0,25,1006,0
1,100.0,102.0,4.0,23.0,1.3,139.0,27,1006,0
2,85.0,88.33333333333333,5.0,20.0,1.3,179.0,28,1005,0
3,70.0,74.66666666666667,6.0,17.0,1.2,219.0,29,1005,0
4,58.0,61.0,5.0,14.0,1.1,242.0,30,1004,0
5,53.0,78.0,3.0,18.0,1.0,237.0,31,1003,0
6,49.0,76.0,2.0,15.0,0.9,233.0,30,1003,0
7,47.0,73.0,2.0,15.0,0.9,223.0,30,1003,0
8,50.0,62.0,2.0,15.0,0.8,222.0,29,1003,0
9,48.0,72.0,1.0,17.0,0.9,206.0,28,1004,0
10,49.0,82.0,1.0,22.0,0.9,179.0,28,1005,0
11,55.0,76.0,1.0,22.0,0.9,160.0,27,1005,0
12,52.0,83.0,1.0,25.0,0.9,133.0,25,1005,0
13,55.0,70.0,1.0,29.0,0.9,115.0,25,1004,0
14,58.0,81.0,1.0,29.0,0.8,102.0,24,1004,0
15,50.0,59.33333333333333,1.0,30.0,0.8,90.0,23,1004,0
16,30.0,37.666666666666664,3.0,20.0,0.5,100.0,23,1004,0
17,16.0,16.0,3.0,18.0,0.3,91.0,22,1004,0
18,19.0,21.0,3.0,17.0,0.3,82.0,22,1004,0
19,17.0,21.0,3.0,20.0,0.3,74.0,21,1003,0
20,18.0,21.0,3.0,22.0,0.3,65.0,21,1004,0
21,21.0,31.0,3.0,26.0,0.4,62.0,22,1004,0
22,21.0,33.0,3.0,25.0,0.4,62.0,24,1003,0
23,19.0,30.0,2.0,21.0,0.4,72.0,25,1004,0
