,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,56.0,80.0,6.0,14.0,1.0,89.0,25,1006,0
1,64.0,86.0,8.0,6.0,1.1,119.0,27,1006,0
2,65.0,78.0,8.0,6.0,1.1,144.0,28,1005,0
3,55.0,71.0,7.0,7.0,1.0,174.0,29,1005,0
4,65.0,78.0,8.0,7.0,1.1,199.0,30,1004,0
5,74.0,91.0,7.0,10.0,1.1,222.0,31,1003,0
6,73.0,90.0,7.0,10.0,1.1,242.0,30,1003,0
7,85.0,102.0,7.0,13.0,1.3,263.0,30,1003,0
8,79.0,105.0,8.0,14.0,1.5,244.0,29,1003,0
9,73.0,91.0,5.0,11.0,1.5,189.0,28,1004,0
10,56.0,66.0,5.0,6.0,0.9,177.0,28,1005,0
11,17.0,54.5,3.0,2.0,0.4,114.0,27,1005,0
12,14.0,43.0,3.0,6.0,0.4,90.0,25,1005,0
13,11.0,31.5,3.0,4.0,0.3,82.0,25,1004,0
14,15.0,20.0,3.0,11.0,0.4,60.0,24,1004,0
15,14.0,17.0,3.0,5.0,0.4,56.0,23,1004,0
16,17.0,23.0,3.0,7.0,0.4,57.0,23,1004,0
17,20.0,24.0,3.0,6.0,0.4,51.0,22,1004,0
18,21.0,24.0,3.0,15.0,0.4,51.0,22,1004,0
19,21.0,35.0,3.0,37.0,0.4,32.0,21,1003,0
20,17.0,27.0,3.0,16.0,0.4,61.0,21,1004,0
21,13.0,20.0,10.0,14.0,0.6,59.0,22,1004,0
22,20.0,28.0,22.0,21.0,0.9,52.0,24,1003,0
23,22.0,32.0,20.0,19.0,0.8,59.0,25,1004,0
