,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,61.0,110.0,16.0,19.0,1.7,103.0,25,1006,0
1,71.0,101.0,18.0,14.0,1.8,134.0,27,1006,0
2,63.0,69.0,18.0,12.0,1.7,170.0,28,1005,0
3,61.0,74.0,17.0,12.0,1.6,204.0,29,1005,0
4,60.0,83.0,15.0,11.0,1.6,223.0,30,1004,0
5,58.0,89.0,15.0,12.0,1.6,244.0,31,1003,0
6,54.0,75.0,11.0,13.0,1.3,252.0,30,1003,0
7,57.0,103.0,9.0,14.0,1.4,251.0,30,1003,0
8,57.0,97.0,8.0,16.0,1.3,245.0,29,1003,0
9,52.0,85.0,5.0,18.0,1.1,215.0,28,1004,0
10,50.0,103.0,2.0,28.0,1.0,174.0,28,1005,0
11,53.0,97.0,1.0,22.0,1.2,148.0,27,1005,0
12,53.0,77.0,1.0,13.0,1.1,167.0,25,1005,0
13,26.0,57.0,3.0,10.0,0.7,139.0,25,1004,0
14,14.0,37.0,3.0,10.0,0.4,108.0,24,1004,0
15,13.0,17.0,3.0,11.0,0.4,93.0,23,1004,0
16,18.0,29.0,3.0,12.0,0.5,90.0,23,1004,0
17,20.0,35.0,3.0,11.0,0.5,94.0,22,1004,0
18,22.0,30.0,3.0,10.0,0.6,89.0,22,1004,0
19,22.0,26.0,3.0,10.0,0.5,85.0,21,1003,0
20,18.0,22.0,3.0,12.0,0.5,72.0,21,1004,0
21,17.0,19.0,3.0,13.0,0.5,65.0,22,1004,0
22,11.0,23.0,3.0,11.0,0.4,65.0,24,1003,0
23,10.0,39.0,3.0,10.0,0.4,71.0,25,1004,0
