,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,85.0,107.0,6.0,35.0,1.1,78.0,25,1006,0
1,86.0,114.0,6.0,34.0,1.2,106.0,27,1006,0
2,88.0,105.0,6.0,31.0,1.2,147.0,28,1005,0
3,88.0,96.0,6.0,27.0,1.3,198.0,29,1005,0
4,86.0,97.0,6.0,22.0,1.3,246.0,30,1004,0
5,68.0,84.0,8.0,19.0,1.2,259.0,31,1003,0
6,57.0,81.0,6.0,19.0,1.1,259.0,30,1003,0
7,56.0,79.0,6.0,19.0,1.0,244.0,30,1003,0
8,51.0,77.0,6.0,21.0,1.1,227.0,29,1003,0
9,53.0,83.0,5.0,28.0,1.1,209.0,28,1004,0
10,55.0,96.0,4.0,29.0,1.1,189.0,28,1005,0
11,64.0,100.0,3.0,40.0,1.3,143.0,27,1005,0
12,51.0,75.0,3.0,25.0,1.0,143.0,25,1005,0
13,25.0,30.0,2.0,31.0,0.7,105.0,25,1004,0
14,26.0,40.0,1.0,38.0,0.6,83.0,24,1004,0
15,23.0,38.0,2.0,36.0,0.6,73.0,23,1004,0
16,24.0,47.0,1.0,56.0,0.6,41.0,23,1004,0
17,26.0,47.0,1.0,73.0,0.5,19.0,22,1004,0
18,25.0,40.0,1.0,65.0,0.5,19.0,22,1004,0
19,23.0,46.0,1.0,74.0,0.5,5.0,21,1003,0
20,22.0,50.0,1.0,75.0,0.5,6.0,21,1004,0
21,25.0,52.0,2.0,78.0,0.6,4.0,22,1004,0
22,24.0,57.0,2.0,62.0,0.6,20.0,24,1003,0
23,20.0,34.0,2.0,45.0,0.6,41.0,25,1004,0
