,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,95.0,115.0,1.0,30.0,1.3,80.0,25,1006,0
1,106.0,119.0,1.0,28.0,1.4,104.0,27,1006,0
2,103.0,113.0,2.0,26.0,1.4,139.0,28,1005,0
3,89.0,109.0,3.0,23.0,1.5,176.0,29,1005,0
4,72.0,91.0,4.0,19.0,1.5,206.0,30,1004,0
5,63.0,73.0,6.0,17.0,1.5,221.0,31,1003,0
6,49.0,70.0,4.0,16.0,1.2,217.0,30,1003,0
7,53.0,80.0,3.0,16.0,1.1,209.0,30,1003,0
8,52.0,77.0,3.0,16.0,1.0,198.0,29,1003,0
9,46.0,72.0,2.0,18.0,0.9,200.0,28,1004,0
10,50.0,89.0,2.0,20.0,1.0,193.0,28,1005,0
11,52.0,87.0,2.0,26.0,1.1,166.0,27,1005,0
12,57.0,94.0,1.0,32.0,1.1,127.0,25,1005,0
13,42.0,50.0,1.0,22.0,1.0,126.0,25,1004,0
14,40.0,39.0,1.0,33.0,0.8,92.0,24,1004,0
15,21.0,28.0,3.0,26.0,0.5,90.0,23,1004,0
16,14.0,17.0,3.0,31.0,0.4,71.0,23,1004,0
17,18.0,25.0,3.0,40.0,0.4,53.0,22,1004,0
18,10.0,21.0,3.0,28.0,0.4,64.0,22,1004,0
19,9.0,17.0,3.0,28.0,0.3,56.0,21,1003,0
20,17.0,29.0,3.0,35.0,0.4,47.0,21,1004,0
21,18.0,32.0,3.0,34.0,0.4,40.0,22,1004,0
22,12.0,23.0,3.0,26.0,0.4,53.0,24,1003,0
23,13.0,31.0,3.0,27.0,0.5,48.0,25,1004,0
