,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP
0,116.0,72.0,2.0,27.0,1.5,80.0,25,1006,0
1,105.0,72.0,4.0,22.0,1.5,118.0,27,1006,0
2,91.0,72.0,7.0,18.0,1.5,163.0,28,1005,0
3,79.0,72.0,10.0,14.0,1.6,213.0,29,1005,0
4,68.0,72.0,11.0,12.0,1.5,241.0,30,1004,0
5,61.0,72.0,8.0,11.0,1.3,250.0,31,1003,0
6,59.0,72.0,7.0,12.0,1.2,250.0,30,1003,0
7,54.0,62.0,6.0,10.0,1.1,234.0,30,1003,0
8,51.0,66.0,5.0,11.0,1.0,227.0,29,1003,0
9,53.0,71.0,4.0,14.0,1.0,224.0,28,1004,0
10,57.0,80.0,3.0,18.0,1.1,208.0,28,1005,0
11,56.0,87.0,3.0,19.0,1.2,183.0,27,1005,0
12,54.0,71.0,3.0,21.0,1.0,148.0,25,1005,0
13,58.0,82.0,2.0,29.0,1.1,118.0,25,1004,0
14,64.0,72.0,2.0,33.0,1.1,100.0,24,1004,0
15,43.0,54.0,1.0,26.0,0.9,95.0,23,1004,0
16,26.0,36.0,3.0,24.0,0.6,82.0,23,1004,0
17,18.0,18.0,3.0,22.0,0.5,69.0,22,1004,0
18,16.0,17.0,3.0,17.0,0.5,70.0,22,1004,0
19,16.0,17.0,3.0,19.0,0.5,67.0,21,1003,0
20,18.0,26.0,3.0,17.0,0.5,68.0,21,1004,0
21,19.0,21.0,3.0,22.0,0.6,57.0,22,1004,0
22,19.0,20.0,3.0,21.0,0.6,60.0,24,1003,0
23,18.0,19.0,2.0,19.0,0.6,64.0,25,1004,0
