,date,PM2.5_24h,CO_24h,SO2,AQI,NO2,PM2.5,O3_24h,SO2_24h,CO,O3,NO2_24h,O3_8h_24h,PM10,O3_8h,PM10_24h
0,201501,99.12663256763584,1.9365545102622899,34.8366566956878,127.77537009867984,67.14680483812819,98.75965486314297,50.94740363661431,34.96108952858685,1.9364159978926334,23.39851428906388,67.5972439540481,42.002828380556,125.72559306268346,23.422826324000436,124.32824682747575
1,201502,91.24872322177164,1.4475684480408975,26.706575682360018,130.08314083808156,51.2171149578079,93.31668015915794,71.39343104606198,26.946533888313777,1.4576093934474617,38.829273142088105,51.23900014401497,61.70663229022294,127.02075828653862,38.776703559213445,130.36714363497478
2,201503,87.58660975836557,1.1888998592417646,20.96054804199288,131.12977380317088,53.727748647104754,86.71241809732211,101.27957882268893,21.035467364501027,1.2022759501150215,50.92139166575025,53.74542335445507,86.48818922729419,148.32340176773346,50.92408066913446,149.88915107806866
3,201504,69.82982793336818,0.758475512266104,9.295979449527184,106.15643880609302,43.48371549897701,71.26633095277793,139.27186377001027,9.031321452410358,0.7653258711486297,75.64422681597108,42.637710231595136,122.69118154175499,121.29861438517723,76.06405261901726,117.29472218449672
4,201505,55.97509076458452,0.7241462025382471,8.801719319204176,88.29487920911454,37.620548207642116,56.062069227267756,173.4132554461797,8.636154024885537,0.7341771727329389,95.53103453856032,37.23268530707585,153.2551816834499,98.48437386056683,96.29734635426225,99.28527436324705
5,201506,60.74161525500606,1.2395609393595486,6.6601319207046155,90.64136475534602,35.81477398538157,60.58903632006623,177.37500025570552,6.878430082708084,1.3039604183537625,90.07872943830928,34.98993293435201,156.59782031323303,81.00482067424365,93.63369429588495,83.06725419509218
6,201507,60.861001853494734,0.8100003167860497,4.756346394544047,89.44515390031229,34.356153100982844,60.937423362870156,204.73015413831249,4.769162880117266,0.8103342170591159,102.81138544056466,34.56157030057055,175.0663120513339,76.47458151357496,102.90577464421104,78.32625536430541
7,201508,43.95712497813109,0.7759019765431423,3.5696213029770676,70.5907349384449,29.869862348201636,44.128063901328815,189.6776488672248,3.5621301300386534,0.776627708350932,92.93731680359267,29.83219726390353,160.39236324439352,66.57780517543617,93.95017385987389,68.4160077175257
8,201509,50.134904722177865,0.8200933920669617,4.908329509173546,70.55123468712154,40.73019176171021,48.497007553379014,133.88207140100423,4.924043238394358,0.8032877825006447,59.357383672663644,40.75736651721748,112.89197307276605,66.69813471255756,60.995626776818305,66.34531448052195
9,201510,71.59116464847926,0.9320144460882818,5.839941815301212,95.94217917128393,51.589055258525654,71.5955494748981,98.49413083357207,5.752882622145021,0.9323230921873021,39.24380351843296,51.43143784155833,77.66461050498489,95.17686445100871,39.2558987065147,89.21704997062281
10,201511,109.21440011194996,1.8496956363733552,11.706042374127001,143.37648205546688,60.04526053505035,114.87691017898884,36.39839472472339,11.438976008238818,1.9427203571442404,14.590656028612125,58.823593451411824,26.777391622480387,,14.65350306973531,
11,201512,154.76015099602887,2.873478180953859,19.265958769002278,173.45383862496536,73.69472189363844,147.12304972796838,36.100251848505614,19.335748218755008,2.768027004170594,17.673577406181863,75.12586584209265,29.127539171334647,165.42434841464154,17.620515140438222,164.1470831799862
12,201601,67.70579630456032,1.5868790747588077,19.87210490246079,92.50433702381457,50.80207509881424,66.74716440350207,53.181661755469605,20.028027912363466,1.5649300951308316,30.10944301594722,51.543015799651485,45.02962222151388,85.80458503163821,30.004979139218268,84.43460301296389
13,201602,42.37074597171113,0.8794565018627052,14.589559103024246,63.15633991716264,33.50578678463799,42.79368068491007,78.0543867090625,14.51597932094559,0.881896006812611,48.71439527801036,33.33155105347759,70.23333077779293,58.951833963820164,48.73445394907163,57.84292612892688
14,201603,90.0788682779447,1.202060520726027,17.8021809256662,129.27184057313266,55.175300963106395,91.57576385619305,96.37266288578702,17.432330553582315,1.205592172644767,49.221378709792106,55.08587990672006,81.50618296013633,135.17381322691116,48.99379762444453,132.14740265995783
15,201604,67.38441306299046,0.7816067219166396,9.730467498108567,103.98752340864421,42.23076123734497,67.0104283109617,131.21302495105357,10.169207823460653,0.7774037201977576,71.18698671214283,42.58909725165311,113.34660430158222,115.98010907142232,71.20565790584169,117.75399494059772
16,201605,54.63092151098298,0.6599936225678824,8.3536325089291,85.8359160152061,36.11969315249418,53.93806862142448,181.9240155181615,8.094646763213197,0.6637748246045314,97.27293677616464,36.26000884697259,162.1585772759608,90.11228559698246,96.85222343960847,90.2892466903629
17,201606,58.23704422744065,0.7436755388443257,4.985313396109433,87.7436080433491,34.19041232874353,58.20257324416373,207.50939069635686,5.141677212771364,0.739146237883237,108.97223525698156,34.42929307460797,180.1881400966184,78.7314102757283,109.20660492086965,80.64503417666108
18,201607,68.28202835665876,0.8978824284385294,3.4384306170298453,95.30797151102472,31.56034228024586,68.39698043753013,193.17413722892204,3.419459313265255,0.905719845230576,96.12979474425254,31.554367056408616,129.23408608774028,83.64998552094544,92.95562558902321,81.19956919425576
19,201608,46.9071729852179,0.8324761017834857,2.8382018096301533,71.45696122472548,33.28828340488698,46.68057916171361,164.8914924216666,2.803721549186455,0.8316867724162447,78.08745778205791,33.105006029524716,83.42982681000582,60.362091847164024,72.89873770912835,60.551899010666816
20,201609,52.691813677968575,0.7441365343593603,3.387456816868048,77.81275794505412,41.03793288401079,54.03682657636916,133.47114124184324,3.30938389844187,0.7521336540707012,57.73475087312045,40.43191060868144,64.01652418016096,72.63566269243188,54.3134326745785,73.02998635830514
